Description,Category
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
SHELL57546016106 AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
VETSOURCE 877-738-4443 OR35947868,Pets
VCA ANIMAL HOSPITALS 3104427264 CA,Pets
EXXONMOBIL AUSTIN TX,Gas/Snacks
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
7-ELEVEN 34251 AUSTIN TX,Gas/Snacks
MCDONALD'S F7877 AUSTIN TX,Food/Drinks
PADDLE.NET* RESTORO 7745236658 NY,Shopping
ZG * RENTAPPLICATION 206-516-2265 WAP-14607269,Fees
HAPPY TAILS PET RESORT CEDAR PARK TX,Pets
LEANDER QUICK STOP LEANDER TX,Gas/Snacks
PADDLE.NET* RESTORO 7745236658 NY,Shopping
INTERNET PAYMENT - THANK YOU,Payments
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
SUSHI JUNAI 1 AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-B9TVY3XZZX,Pets
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
HAPPY TAILS PET RESORT CEDAR PARK TX,Pets
YSI*10X LIVING AT GRANDV 512-480-9886 TXYSI*10X LIVING AT GRANDV,Bills
TEXACO 0304356 CEDAR PARK TX00304356 5630370 M,Gas/Snacks
TEXACO 0304356 CEDAR PARK TX00304356 5630369 R,Gas/Snacks
FIRE BOWL CAFE 512-698-1668 TX01857R,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
AFFIRM.COM PAYMENTS 8554233729 CA,Shopping
AUTOMATIC STATEMENT CREDIT,Credits
INTERNET PAYMENT - THANK YOU,Payments
P. TERRYS STAND #3 AUSTIN TX02220R,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
SHELL57546016106 AUSTIN TX,Gas/Snacks
TST* BUTLER PITCH & PU AUSTIN TX00004795007559319161AA,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
NORDSTROM #0733 AUSTIN TX,Shopping
SP VUORI CLOTHING 7608886430 CA,Shopping
P. TERRYS STAND #3 AUSTIN TX02995R,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
P. TERRYS STAND #3 AUSTIN TX03037R,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
CAVENDERS BOOT #32 AUSTIN TX,Shopping
CIRCLE K # 04684 AUSTIN TX00282R,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
POTBELLY #202 AUSTIN TX00204R,Food/Drinks
TST* DONUT TACO PALACE AUSTIN TX00014375007642736185AA,Food/Drinks
EINSTEIN BROS BAGELS3487 CEDAR PARK TX,Food/Drinks
TEXACO 0355588 LEANDER TX00355588 8800162 I,Gas/Snacks
AFFIRM.COM PAYMENTS 8554233729 CA,Shopping
FIREHOUSE SUBS 0466 QSR CEDAR PARK TX,Food/Drinks
QT 4156 LIBERTY HILL TX0415602MSW2NQ8H,Gas/Snacks
VETSOURCE 877-738-4443 OR37192105,Pets
SHELL12508189003 LEANDER TX,Gas/Snacks
SHELL12508189003 LEANDER TX,Gas/Snacks
UT RECEIVABLES-WEB AUSTIN TX,Education
DOGTOPIA OF SOUTH AUST AUSTIN TX,Pets
NI CAFE AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
EXXONMOBIL AUSTIN TX,Gas/Snacks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
FIV*RIO MART AUSTIN TX,Groceries
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
P. TERRYS STAND #3 AUSTIN TX01711R,Food/Drinks
TST* BUTLER PITCH & PU AUSTIN TX00004795007827107599AA,Entertainment
AFFIRM.COM PAYMENTS 8554233729 CA,Shopping
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
TST* REINA AUSTIN TX,Food/Drinks
VCA ANIMAL HOSPITALS 3104427264 CAAPPLE PAY ENDING IN 1327,Pets
AUTOMATIC STATEMENT CREDIT,Credits
CIRCLE K # 04684 AUSTIN TX02078R,Gas/Snacks
CIRCLE K # 04684 AUSTIN TX02097R,Gas/Snacks
NI CAFE AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
NI CAFE AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
MOCKINGBIRD SALOON AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
P. TERRYS STAND #3 AUSTIN TX02440R,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
EXXONMOBIL AUSTIN TX,Gas/Snacks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
EXXONMOBIL BEE CAVES TX,Gas/Snacks
GLF*FALCONHEADGOLFCLUB AUSTIN TX,Entertainment
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
AFFIRM.COM PAYMENTS 8554233729 CA,Shopping
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
7-ELEVEN 36621 AUSTIN TX,Gas/Snacks
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-BHX5M8TSTS,Pets
INTERNET PAYMENT - THANK YOU,Payments
NI CAFE AUSTIN TX,Food/Drinks
7-ELEVEN 36621 AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
NI CAFE AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
P. TERRYS STAND #3 AUSTIN TX00462R,Food/Drinks
VETSOURCE 877-738-4443 OR38299875,Pets
EPREMIUM INSURANCE AGE MASON OH,Bills
MSI RENTERS 844-788-0873 TX,Bills
SHELL12508189003 LEANDER TX,Gas/Snacks
SHELL12508189003 LEANDER TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
RAISING CANE'S #115 CEDAR PARK TX,Food/Drinks
TST* DONUT TACO PALACE AUSTIN TX00014375008100109600AA,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
P. TERRYS STAND #3 AUSTIN TX01411R,Food/Drinks
RIVERSIDE GOLF COURSE AUSTIN TX,Entertainment
TST* RIVERSIDE GOLF COUR AUSTIN TX,Food/Drinks
002 TORCHYS CF ARBOR TRA AUSTIN TXAPPLE PAY ENDING IN 1327,Food/Drinks
AMERICAN SOLUTIONS4 BUS 800-714-7288 MN,Shopping
BEST BUY 00002048295 AUSTIN TX,Shopping
"LOWE'S OF S.W. AUSTIN, T AUSTIN TX",Shopping
002 TORCHYS ARBOR TRAILS AUSTIN TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
002 TORCHYS ARBOR TRAILS AUSTIN TX,Food/Drinks
AUTOMATIC STATEMENT CREDIT,Credits
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
MCDONALD'S F23614 AUSTIN TX,Food/Drinks
SHELL57542085501 AUSTIN TX,Gas/Snacks
U-HAUL MOVING & STORAGE 800-789-3638 TX,Services
NI CAFE AUSTIN TX,Food/Drinks
SHELL12508189003 LEANDER TX,Gas/Snacks
U-HAUL CO 800-789-3638 TX,Services
NI CAFE AUSTIN TX,Food/Drinks
BEST BUY MH00002030295 AUSTIN TX,Shopping
NI CAFE AUSTIN TX,Food/Drinks
WENDY'S 129 AUSTIN TX,Food/Drinks
BEST BUY MH00002030295 AUSTIN TX,Payments
CIRCLE K #2740967 AUSTIN TX,Gas/Snacks
FGTSTUBBS TIX 512-389-0315 TX,Entertainment
RIVERSIDE GOLF COURSE AUSTIN TX,Entertainment
TARGET 00017970091 AUSTIN TX,Shopping
7-ELEVEN 36581 CEDAR PARK TX,Gas/Snacks
EXXONMOBIL AUSTIN TX,Gas/Snacks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,Credits
FIREHOUSE SUBS 0431 QSR AUSTIN TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
U-HAUL MOVING & STORAGE 800-789-3638 TX,Services
TARGET 00024091091 AUSTIN TX,Shopping
VETSOURCE 877-738-4443 OR39048502,Pets
CHEWY.COM 800-672-4399 FLPMT-IBJTGIZKZD,Pets
JERSEY MIKES 15048 AUSTIN TX,Food/Drinks
LOWE'S OF CENTRAL AUSTIN AUSTIN TX,Shopping
TEXACO 0376654 AUSTIN TX00376654 5483476 I,Gas/Snacks
WTF ICEHOUSE AUSTIN TX,Food/Drinks
COA PARKS & REC AUSTIN TX,Travel
CHEWY.COM 800-672-4399 FLPMT-IBJTGIZKZD,Pets
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
APPLE STORE #R216 AUSTIN TXR216116289701,Shopping
CHILDHELP* BACKPACK DR 4805425952 AZ,Miscellaneous
TST* CLIVE BAR AUSTIN TX00062814008521038856AA,Food/Drinks
TST* CLIVE BAR AUSTIN TX00062814008521598998AA,Food/Drinks
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 2160PMT-H52NZITIIR,Pets
ICENHAUER'S AUSTIN TX,Food/Drinks
THE PARLOR ROOM AUSTIN TX,Food/Drinks
UNBARLIEVABLE AUSTIN TX,Food/Drinks
7-ELEVEN 36609 AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
NI CAFE AUSTIN TX,Food/Drinks
NI CAFE AUSTIN TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
H-E-B GAS/CARWASH #265 CEDAR PARK TX,Gas/Snacks
"SQ *BISHOP CIDER CO, L AUSTIN TX0002305843016303590416",Food/Drinks
"SQ *BISHOP CIDER CO, L AUSTIN TX0002305843016303749789",Food/Drinks
AUTOMATIC STATEMENT CREDIT,Credits
SW AIR DALLAS TX,Travel
TEXACO 0355588 LEANDER TX00355588 8833808 I,Gas/Snacks
TEXACO 0355588 LEANDER TX00355588 8833807 I,Gas/Snacks
TST* CABO BOBS BURRITO AUSTIN TX00051084008721220291AA,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
VETSOURCE 877-738-4443 OR40563114,Pets
INTERNET PAYMENT - THANK YOU,Payments
