Description,Category
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
BAR PARTNERS GAMES,Entertainment
ZUMIEZ#206  *USA,Shopping
BAR PARTNERS GAMES,Entertainment
AMZN Mktp US*9L7E36KC3,Shopping
TST* BEEZ KNEEZ,Food/Drinks
TST* THE CAT'S PAJAMAS,Food/Drinks
DD DOORDASH THEORIGIN,Food/Drinks
SHELL OIL 57542085402,Gas/Snacks
PARLOR &amp; YARD,Food/Drinks
POSITIVEPRINTS,Shopping
THE LUCKY DUCK,Food/Drinks
SHELL OIL 57544800204,Gas/Snacks
DD DOORDASH TORCHYSTA,Food/Drinks
TST* MEAN EYED CAT,Food/Drinks
POSITIVEPRINTS,Shopping
CHEVRON 0381691,Gas/Snacks
VETSOURCE,Pets
CHEVRON 0381691,Gas/Snacks
Payment Thank You-Mobile,Payments
H-E-B  #202,Groceries
7-ELEVEN 36592,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
LA FITNESS,Health
CHEVRON 0381691,Gas/Snacks
H-E-B  #202,Groceries
DD DOORDASH MADAMMAMS,Food/Drinks
Payment Thank You-Mobile,Payments
HOWARD LN AUSTIN,Gas/Snacks
SQ *THE DRIVING RANGE ROU,Entertainment
DD DOORDASH WHATABURG,Food/Drinks
TOM THUMB #1972,Groceries
DAIRY QUEEN #46078,Food/Drinks
H-E-B  #224,Groceries
TIKTOK SHOP,Shopping
JERSEY MIKES 15069,Food/Drinks
7-ELEVEN 36589,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH POTBELLYS,Food/Drinks
EXXON 7-ELEVEN 36589,Gas/Snacks
COA PARKS &amp; REC,Travel
DD DOORDASH SUBWAY,Food/Drinks
CHEWY.COM,Pets
Payment Thank You-Mobile,Payments
CHEVRON 0381691,Gas/Snacks
DD DOORDASH WHATABURG,Food/Drinks
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
TXTAG 888 468 9824,Travel
Payment Thank You-Mobile,Payments
TXTAG 888 468 9824,Travel
7-ELEVEN 35471,Gas/Snacks
GLF*CRYSTALFALLSGC,Entertainment
7-ELEVEN 35471,Gas/Snacks
Payment Thank You-Mobile,Payments
SQ *THE DRIVING RANGE ROU,Entertainment
GLF*GolfNowReservation,Entertainment
TST* CASA DO BRASIL - AUS,Food/Drinks
Payment Thank You-Mobile,Payments
CHEVRON 0381691,Gas/Snacks
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
TXTAG 888 468 9824,Travel
H-E-B  #202,Groceries
P. TERRYS STAND #8,Food/Drinks
CHEVRON 0381691,Gas/Snacks
7-ELEVEN 32248,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH CABOBOBSB,Food/Drinks
DONN`S DEPOT,Food/Drinks
DD DOORDASH KERBEYLAN,Food/Drinks
DREAM PLANET SMOKE AND VA,Shopping
GLF*CRYSTALFALLSGC,Entertainment
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
CHEVRON 0381691,Gas/Snacks
Payment Thank You-Mobile,Payments
Payment Thank You-Mobile,Payments
TXTAG 888 468 9824,Travel
SHELL OIL 57542085402,Gas/Snacks
Payment Thank You-Mobile,Payments
H-E-B #029,Groceries
GLF*GolfNowReservation,Entertainment
CIRCLE K #2740966,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
H-E-B #495,Groceries
DD DOORDASH WHATABURG,Food/Drinks
SQ *THE DRIVING RANGE ROU,Entertainment
FGTTWOSTEPINN,Entertainment
TikTok Shop,Shopping
VETSOURCE,Pets
SQ *THE DRIVING RANGE ROU,Entertainment
DOMINO'S 6607,Food/Drinks
Dicks Sporting Goods,Shopping
CHEVRON 0381691,Gas/Snacks
ISM  INC. DBA AIRUP,Food/Drinks
7-ELEVEN 35435,Gas/Snacks
IN N OUT BURGER 315,Food/Drinks
EXXON CHILL &amp; FILL,Gas/Snacks
TXTAG 888 468 9824,Travel
LAZY DOG RESTAURANT 17,Food/Drinks
SHELL OIL 57545269409,Gas/Snacks
EXXON CHILL &amp; FILL,Gas/Snacks
IHOP 1468,Food/Drinks
BWW IRVING 103,Food/Drinks
TST* Hurtado Barbecue,Food/Drinks
LD STORY,Food/Drinks
LA FITNESS,Health
HOME PLATE AT TEXAS RANGE,Food/Drinks
HOME PLATE AT TEXAS RANGE,Food/Drinks
7-ELEVEN 38771,Gas/Snacks
H-E-B  #269,Groceries
DICK'S CLOTHING&amp;SPORTING,Shopping
TikTok Shop,Shopping
CHEVRON 0381691,Gas/Snacks
Payment Thank You-Mobile,Payments
DOMINO'S 6607,Food/Drinks
H-E-B  #202,Groceries
DD DOORDASH STARBUCKS,Food/Drinks
DD DOORDASH WHATABURG,Food/Drinks
7-ELEVEN 36609,Gas/Snacks
THE LUCKY DUCK,Food/Drinks
TXTAG 888 468 9824,Travel
TST* KERBEY LANE CAFE - N,Food/Drinks
EXXON 7-ELEVEN 36609,Gas/Snacks
PLAYITAGAINSP #10105,Shopping
4UP*TERAVISTA GC,Entertainment
4UP*TERAVISTA GC,Entertainment
4UP*TERAVISTA GC,Entertainment
Payment Thank You-Mobile,Payments
DOMINO'S 6607,Food/Drinks
TXTAG 888 468 9824,Travel
GLF*GolfNowReservation,Entertainment
AMZN Mktp US*TD8AX0LG2,Shopping
7-ELEVEN 36557,Gas/Snacks
Payment Thank You-Mobile,Payments
SQ *THE DRIVING RANGE ROU,Entertainment
AMZN Mktp US*TP0LY1BV1,Shopping
SQ *THE DRIVING RANGE ROU,Entertainment
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
TARGET        00000950,Shopping
CHEWY.COM,Pets
Payment Thank You-Mobile,Payments
SHELL OIL 12508189003,Gas/Snacks
TXTAG 888 468 9824,Travel
H-E-B  #202,Groceries
DD DOORDASH VELVETTAC,Food/Drinks
Payment Thank You-Mobile,Payments
GLF*CRYSTALFALLSGC,Entertainment
STARS &amp; STRIPES DRIVE IN,Entertainment
TST* Panchitos Olmos Park,Food/Drinks
AL CARBON POLLOS ASADOS #,Food/Drinks
HOTEL EMMA FOOD AND BE,Food/Drinks
STARS &amp; STRIPES DRIVE IN,Entertainment
Payment Thank You-Mobile,Payments
LITTLE DEATH,Food/Drinks
H-E-B  #224,Groceries
UMIYA,Food/Drinks
H-E-B  #224,Groceries
ZARA USA 3951,Shopping
SHELL OIL 10000963008,Gas/Snacks
SHOPS AT LACANTERA TXANF,Shopping
SQ *PJ'S COFFEE OF NEW OR,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
WHATABURGER 796    Q26,Food/Drinks
DD DOORDASH POPEYESLO,Food/Drinks
DD DOORDASH KERBEYLAN,Food/Drinks
4UP*FALCONHEAD GC,Entertainment
4UP*FALCONHEAD GC,Entertainment
P. TERRYS STAND #7,Food/Drinks
CAFE Y BAKERY P20 ATO SJO,Food/Drinks
VETSOURCE,Pets
CIRCLE K # 04675,Gas/Snacks
BRITT SHOP HOTEL HILTON C,Shopping
Payment Thank You-Mobile,Payments
ANNUAL MEMBERSHIP FEE,Fees
STARBUCKS HACIENDA ALSACI,Entertainment
FREDDO FRESAS,Food/Drinks
LA FITNESS,Health
Payment Thank You-Mobile,Payments
AUSTIN AIRPORT-F&amp;B,Food/Drinks
HOU PGA STORE,Shopping
TXTAG 888 468 9824,Travel
LEVIS.COM,Shopping
LEVI'S STORE 100,Shopping
SHELL OIL 12508189003,Gas/Snacks
DD DOORDASH TORCHYSTA,Food/Drinks
7-ELEVEN 38279,Gas/Snacks
Payment Thank You-Mobile,Payments
TXTAG 888 468 9824,Travel
MANAGE INN CAHOOTS  LLC,Food/Drinks
MANAGE INN CAHOOTS  LLC,Food/Drinks
MANAGE INN CAHOOTS  LLC,Food/Drinks
TEXACO 0377023,Gas/Snacks
H-E-B  #202,Groceries
COA PARKS &amp; REC,Travel
CIRCLE K #2740080,Gas/Snacks
P. TERRYS STAND #7,Food/Drinks
Payment Thank You-Mobile,Payments
TARGET        00000950,Shopping
CHEVRON 0381691,Gas/Snacks
LEVIS.COM,Shopping
CALVINKLEIN.COM,Shopping
Payment Thank You-Mobile,Payments
Payment Thank You-Mobile,Payments
DD DOORDASH PARDONMYC,Food/Drinks
Payment Thank You-Mobile,Payments
SP BOMBAS,Shopping
SHELL OIL 12645906004,Gas/Snacks
Etsy.com - ArtHeatherArt,Shopping
DD DOORDASH KERBEYLAN,Food/Drinks
H-E-B  #202,Groceries
Etsy.com - MoeBeansBoutiq,Shopping
Payment Thank You-Mobile,Payments
CHEVRON 0155648,Gas/Snacks
PLAYITAGAINSP #10105,Shopping
DD DOORDASH WALGREENS,Food/Drinks
DD DOORDASH WHATABURG,Food/Drinks
1883 SDX AUS,Food/Drinks
SQ *MID SOUTH-V,Groceries
TST* Plank Seafood - Aust,Food/Drinks
7-ELEVEN 36610,Gas/Snacks
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
H-E-B  #218,Groceries
DD DOORDASH SUBWAY,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
LITTLE WOODROWS - 6TH STR,Food/Drinks
WHATABURGER 347    Q26,Food/Drinks
SUSHI JUNAI 2,Food/Drinks
CHEVRON 0381691,Gas/Snacks
SODA SNACK VENDING,Food/Drinks
JERSEY MIKES 15003,Food/Drinks
SQ *STONY'S PIZZA TRAILER,Food/Drinks
Payment Thank You-Mobile,Payments
CHEVRON 0381691,Gas/Snacks
TM *ZACH BRYAN,Entertainment
DD DOORDASH SUBWAY,Food/Drinks
CHEWY.COM,Pets
AMZN Mktp US*TL2Y62S21,Shopping
CHEVRON 0381691,Gas/Snacks
VETSOURCE,Pets
JIFFY LUBE #2926,Automotive
ZARA USA 3950,Shopping
STARBUCKS STORE 48298,Food/Drinks
CHEVRON 0381691,Gas/Snacks
LULULEMON THE DOMAIN,Shopping
Payment Thank You-Mobile,Payments
SP TECOVAS,Shopping
LS IMPOSSIBLE KICKS,Shopping
DOGWOOD BAR AND GRILL -DO,Food/Drinks
DD DOORDASH FIREHOUSE,Food/Drinks
Payment Thank You-Mobile,Payments
H-E-B  #202,Groceries
CHEVRON 0381691,Gas/Snacks
DD DOORDASH POTBELLYS,Food/Drinks
DD DOORDASH TARGET,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
H-E-B  #202,Groceries
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
Payment Thank You-Mobile,Payments
LA FITNESS,Health
CHEVRON 0381691,Gas/Snacks
DD DOORDASH ITSJUSTWI,Food/Drinks
CHEVRON 0381691,Gas/Snacks
BUC-EE'S #22,Groceries
MANAGE INN CAHOOTS  LLC,Food/Drinks
MANAGE INN CAHOOTS  LLC,Food/Drinks
CHEVRON 0381691,Gas/Snacks
RIVIERA EXXON,Gas/Snacks
RIVIERA EXXON,Gas/Snacks
GLORIAS RESTAURANT #11,Food/Drinks
H-E-B  #202,Groceries
CHEVRON 0381691,Gas/Snacks
DD DOORDASH EASTSIDEP,Food/Drinks
H-E-B  #202,Groceries
DD DOORDASH TORCHYSTA,Food/Drinks
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
EINSTEIN BROS BAGELS3487,Food/Drinks
TARGET        00023424,Shopping
WALGREENS #3092,Groceries
P. TERRYS STAND #7,Food/Drinks
CHEVRON 0381691,Gas/Snacks
EXXON BURPY MARKET,Gas/Snacks
P. TERRYS STAND #7,Food/Drinks
TST* LATCHKEY,Food/Drinks
CHEVRON 0381691,Gas/Snacks
MANAGE INN CAHOOTS  LLC,Food/Drinks
MANAGE INN CAHOOTS  LLC,Food/Drinks
Payment Thank You-Mobile,Payments
TARGET        00000950,Shopping
SHELL OIL 12645906004,Gas/Snacks
SHELL OIL 12645906004,Gas/Snacks
TXTAG 888 468 9824,Travel
COA PARKS &amp; REC,Travel
Payment Thank You-Mobile,Payments
H-E-B  #202,Groceries
CHEVRON 0381691,Gas/Snacks
DD DOORDASH FIREHOUSE,Food/Drinks
SHELL OIL 57542085402,Gas/Snacks
DD DOORDASH FIREHOUSE,Food/Drinks
JERSEY MIKES 15048,Food/Drinks
GLF*HarveyPenickGC,Entertainment
MANAGE INN CAHOOTS  LLC,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
MANAGE INN CAHOOTS  LLC,Food/Drinks
LA FIT *ANNUALFEE,Health
DD DOORDASH POKEWORKS,Food/Drinks
THE LUCKY DUCK,Food/Drinks
TXTAG 888 468 9824,Travel
NI CAFE,Food/Drinks
VETSOURCE,Pets
CHEVRON 0381691,Gas/Snacks
DD DOORDASH VELVETTAC,Food/Drinks
FIREHOUSE SUBS 0466 QSR,Food/Drinks
LEANDER DENTAL CARE,Health
LEANDER DENTAL CARE,Health
CHEVRON 0381691,Gas/Snacks
CHEVRON 0381691,Gas/Snacks
DD DOORDASH VELVETTAC,Food/Drinks
GLF*GOLFCLUBSTARRANCH,Entertainment
SHELL OIL 12645906004,Gas/Snacks
TXTAG 888 468 9824,Travel
Payment Thank You-Mobile,Payments
TST* LUCKY RABBIT,Food/Drinks
TST* MEAN EYED CAT,Food/Drinks
TST* Cafe No Se,Food/Drinks
MANAGE INN CAHOOTS  LLC,Food/Drinks
Etsy.com - Fingtech,Shopping
SQ *INN CAHOOTS,Food/Drinks
THE CONTINENTAL CLUB,Food/Drinks
TST* LATCHKEY,Food/Drinks
TST* LATCHKEY,Food/Drinks
NI CAFE,Food/Drinks
DD DOORDASH WHICHWICH,Food/Drinks
CHEVRON 0381691,Gas/Snacks
H-E-B  #202,Groceries
EXXON 7-ELEVEN 36630,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
TST* Cabo Bobs Burritos,Food/Drinks
P. TERRYS STAND #8,Food/Drinks
7-ELEVEN 36596,Gas/Snacks
TST* Cabo Bobs Burritos,Food/Drinks
Payment Thank You-Mobile,Payments
GLF*CRYSTALFALLSGC,Entertainment
FIT AUSTIN-ANDERSON LN,Health
CHEVRON 0381691,Gas/Snacks
CINEPOLIS  - TRAILS,Food/Drinks
COA PARKS &amp; REC,Travel
7-ELEVEN 36564,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
FANDANGO,Entertainment
DD DOORDASH SUBWAY,Food/Drinks
H-E-B #029,Groceries
P. TERRYS STAND #6,Food/Drinks
RIVERSIDE GOLF COURSE,Entertainment
Payment Thank You-Mobile,Payments
TST* LATCHKEY,Food/Drinks
TST* LATCHKEY,Food/Drinks
Amazon.com*FP6WO9MM3,Shopping
PROFESSIONAL PARKING M,Travel
TST* LATCHKEY,Food/Drinks
TST* LATCHKEY,Food/Drinks
DD DOORDASH FIREHOUSE,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
CHEWY.COM,Pets
VCA ANIMAL HOSP #679,Pets
TASTY WEASEL AUSTIN,Food/Drinks
CHEVRON 0309230,Gas/Snacks
CIRCLE K #2740080,Gas/Snacks
7-ELEVEN 38615,Gas/Snacks
CIRCLE K #2740080,Gas/Snacks
LIONS MUNICIPAL GOLF,Entertainment
COA PARKS &amp; REC,Travel
Payment Thank You-Mobile,Payments
LIONS MUNICIPAL GOLF,Entertainment
7-ELEVEN 36577,Gas/Snacks
H-E-B #029,Groceries
DD DOORDASH TORCHYSTA,Food/Drinks
DD DOORDASH MADAMMAMS,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
P. TERRY'S STAND #26,Food/Drinks
SQ *TEXAS STATE TUBES,Entertainment
DD DOORDASH SUBWAY,Food/Drinks
SURF THRU AUSTIN,Automotive
P. TERRYS STAND #6,Food/Drinks
BALCONES COUNTRY CLUB,Entertainment
P. TERRYS STAND #8,Food/Drinks
SQ *BEYOND GOLF PERFORMAN,Education
SHELL OIL 57543321004,Gas/Snacks
NORDSTROM #0733,Shopping
SHELL OIL 57543321004,Gas/Snacks
SP JAXXON LLC.,Shopping
VETSOURCE,Pets
Payment Thank You-Mobile,Payments
SHELL OIL 57543321004,Gas/Snacks
H-E-B #029,Groceries
NI CAFE,Food/Drinks
NI CAFE,Food/Drinks
DD DOORDASH P.TERRYSB,Food/Drinks
JERSEY MIKES 15053,Food/Drinks
Payment Thank You-Mobile,Payments
JERSEY MIKES 15053,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
DD DOORDASH WINGSTOP,Food/Drinks
7-ELEVEN 36610,Gas/Snacks
SHELL OIL 57543321004,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
DD DOORDASH SONICDRIV,Food/Drinks
Payment Thank You-Mobile,Payments
P. TERRYS STAND #8,Food/Drinks
7-ELEVEN 35471,Gas/Snacks
7-ELEVEN 35471,Gas/Snacks
JIMMY JOHNS - 4185,Food/Drinks
7-ELEVEN 36577,Gas/Snacks
LIONS MUNICIPAL GOLF,Entertainment
GLF*CRYSTALFALLSGC,Entertainment
GLF*GolfNowReservation,Entertainment
TST* LATCHKEY,Food/Drinks
TST* LATCHKEY,Food/Drinks
TST* THE CAT'S PAJAMAS,Food/Drinks
H-E-B #029,Groceries
7-ELEVEN 36577,Gas/Snacks
LIONS MUNICIPAL GOLF,Entertainment
DD DOORDASH TORCHYSTA,Food/Drinks
TXTAG 888 468 9824,Travel
H-E-B #029,Groceries
DD DOORDASH HAWAIIANB,Food/Drinks
NI CAFE,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
NI CAFE,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
Payment Thank You-Mobile,Payments
DD DOORDASH TORCHYSTA,Food/Drinks
LIONS MUNICIPAL GOLF,Entertainment
Payment Thank You-Mobile,Payments
DD DOORDASH TORCHYSTA,Food/Drinks
CHEWY.COM,Pets
Payment Thank You-Mobile,Payments
SHELL OIL 57543321004,Gas/Snacks
RIVERSIDE GOLF COURSE,Entertainment
P. TERRYS STAND #6,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
SHANGRI-LA - AUSTIN,Food/Drinks
SQ *TAQUERIA DONA JUANITA,Food/Drinks
RIVERSIDE GOLF COURSE,Entertainment
HUCKBERRY INC,Shopping
WEARYOURBEER.COM,Shopping
P. TERRYS STAND #6,Food/Drinks
TST* LATCHKEY,Food/Drinks
DD *SUBWAY,Food/Drinks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
DD *CABOBOBSBUR,Food/Drinks
BLACKHAWK GOLF CLUB,Entertainment
H-E-B #029,Groceries
P. TERRYS STAND #8,Food/Drinks
P. TERRYS STAND #8,Food/Drinks
BLACKHAWK GOLF CLUB,Entertainment
SHELL OIL 12645906004,Gas/Snacks
SHELL OIL 12645906004,Gas/Snacks
COA PARKS &amp; REC,Travel
GULF OIL 92053551,Gas/Snacks
SHELL OIL 57545847402,Gas/Snacks
DD *TORCHYSTACOS,Food/Drinks
THE LUCKY DUCK,Food/Drinks
TST* Flos Wine Bar &amp; Bot,Food/Drinks
LEFT HOUSE LLC,Food/Drinks
GLF*GolfNowReservation,Entertainment
TXTAG 888 468 9824,Travel
TST* Flos Wine Bar &amp; Bot,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
NI CAFE,Food/Drinks
BEST BUY      00001784,Shopping
PETSMART # 0192,Pets
P. TERRYS STAND #6,Food/Drinks
VETSOURCE,Pets
Payment Thank You-Mobile,Payments
SHELL OIL 57543321004,Gas/Snacks
DD *HALALBROS,Food/Drinks
DD *TORCHYSTACOS,Food/Drinks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
GINOS VINO ON THE GREE,Food/Drinks
SHELL OIL 57545847402,Gas/Snacks
SHELL OIL 57541302105,Gas/Snacks
TXTAG 888 468 9824,Travel
SHELL OIL 12421948006,Gas/Snacks
SHELL OIL 12421948006,Gas/Snacks
GLF*CRYSTALFALLSGC,Entertainment
SQ *PETER PAN MINI GOLF,Entertainment
POTBELLY #161,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
Payment Thank You-Mobile,Payments
SHELL OIL 57543321004,Gas/Snacks
GLF*GolfNowReservation,Entertainment
POTBELLY #458,Food/Drinks
TXTAG 888 468 9824,Travel
Payment Thank You-Mobile,Payments
H-E-B #029,Groceries
BAJA FRESH,Food/Drinks
CINNABON D LAS,Food/Drinks
EXC - STARBUCKS RTUNDA,Food/Drinks
Payment Thank You-Mobile,Payments
JOHNNY ROCKETS EXCALIB,Food/Drinks
EXC - SWORD &amp; STONE BAR,Food/Drinks
EAST SIDE LOUNGE - ENC,Food/Drinks
XS - ENCORE,Food/Drinks
BEACH CLUB-ENCORE,Food/Drinks
OYO STEAK N SHAKE,Food/Drinks
THE MARKET,Shopping
AUSTIN AIRPORT-RETAIL,Shopping
RWLV ZOUK NIGHTCLUB,Food/Drinks
THE MARKET,Shopping
AUSTIN AIRPORT-F&amp;B,Food/Drinks
DD *SUBWAY,Food/Drinks
TXTAG 888 468 9824,Travel
SHELL OIL 12508189003,Gas/Snacks
Payment Thank You-Mobile,Payments
DD *SUBWAY,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
Payment Thank You-Mobile,Payments
LEANDER STORES LLC,Gas/Snacks
Payment Thank You-Mobile,Payments
TST* LATCHKEY,Food/Drinks
TST* LATCHKEY,Food/Drinks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
CHEWY.COM,Pets
H-E-B #029,Groceries
DD DOORDASH POKEWORKS,Food/Drinks
DD DOORDASH THEKEBABS,Food/Drinks
DD DOORDASH NSTARDONU,Food/Drinks
DD DOORDASH ROSENSBAG,Food/Drinks
Payment Thank You-Mobile,Payments
7-ELEVEN 32654,Gas/Snacks
TXTAG 888 468 9824,Travel
P. TERRYS STAND #14,Food/Drinks
4UP*FALCONHEAD GC,Entertainment
RAISING CANES 0115,Food/Drinks
JIMMY JOHNS 1810,Food/Drinks
DD DOORDASH TACOBELL,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
VETSOURCE,Pets
Payment Thank You-Mobile,Payments
AMZN Mktp US*7H7W24OB3,Shopping
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
TST* Mighty Fine Burgers,Food/Drinks
H-E-B #029,Groceries
CL *Chase Travel,Travel
TravisMathew Domain,Shopping
GLF*GolfNowReservation,Entertainment
FIREHOUSE SUBS 0431 QSR,Food/Drinks
REGAL GATEWAY 16  0949,Entertainment
SP RIDGE WALLET 065,Shopping
ACADEMY SPORTS #27,Shopping
SP VUORI CLOTHING,Shopping
WARBY PARKER,Shopping
AMZN Mktp US*Z77X03IE3,Shopping
7-ELEVEN 36610,Gas/Snacks
NESPRESSO USA  INC.,Groceries
NORDSTROM #0733,Shopping
Payment Thank You-Mobile,Payments
P. TERRYS STAND #6,Food/Drinks
Payment Thank You-Mobile,Payments
NI CAFE,Food/Drinks
NI CAFE,Food/Drinks
NI CAFE,Food/Drinks
NI CAFE,Food/Drinks
DD DOORDASH JERSEYMIK,Food/Drinks
H-E-B #029,Groceries
P. TERRY'S STAND #26,Food/Drinks
Payment Thank You-Mobile,Payments
GLF*TERAVISTAGOLFCLUB,Entertainment
7-ELEVEN 36618,Gas/Snacks
GLF*TeravistaGolfClub,Entertainment
TEXACO 0377023,Gas/Snacks
GLF*GolfNowReservation,Entertainment
7-ELEVEN 36621,Gas/Snacks
THE DOGWOOD DOMAIN,Food/Drinks
TST* Maudies Milagro,Food/Drinks
THE DOGWOOD DOMAIN,Food/Drinks
THE DOGWOOD DOMAIN,Food/Drinks
THE DOGWOOD DOMAIN,Food/Drinks
NI CAFE,Food/Drinks
NI CAFE,Food/Drinks
AMZN Mktp US*WM6WV9X93,Shopping
AMZN Mktp US*QW4NU7EH3,Shopping
AMZN Mktp US*HM67K1H92,Shopping
AMZN Mktp US*HM35Q65W2,Shopping
Payment Thank You-Mobile,Payments
P. TERRYS STAND #8,Food/Drinks
PETER MILLAR AUSTIN,Shopping
CHEVRON 0157966,Gas/Snacks
H-E-B #031,Groceries
Payment Thank You-Mobile,Payments
GLF*FALCONHEADGOLFCLUB,Entertainment
CHEWY.COM,Pets
GLF*TERAVISTAGOLFCLUB,Entertainment
SPEEDY STOP 95,Gas/Snacks
GLF*GolfNowReservation,Entertainment
GLF*GolfNowReservation,Entertainment
NI CAFE,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
AMZN Mktp US*HF70364A2,Shopping
THE GRACKLE,Food/Drinks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
BAR PARTNERS GAMES,Entertainment
BAR PARTNERS GAMES,Food/Drinks
GRABOOST,Miscellaneous
TST* HOTEL VEGas Stations,Food/Drinks
GRABOOST,Miscellaneous
TST* Easy Tiger - Eastsid,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
AMZN Mktp US*HF1YZ1EI0,Shopping
MCDONALD'S F14128,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
AMZN Mktp US*HV5M747G2,Shopping
RMA TOLL,Travel
SHELL OIL 57542085402,Gas/Snacks
NI CAFE,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
Payment Thank You-Mobile,Payments
TOYOTA OF CEDAR PARK,Automotive
AMZN Mktp US*HV57880V2,Shopping
